Accession	Description
Efra.gene16536_i3_length315.p1	
Efra.gene34789_i0_length420.p1	
Efra.gene13656_i0_length1062.p1	
Efra.gene38386_i0_length387.p1	Actin-depolymerizing factor 2, isoform c (Uncoordinated protein 60)
Efra.gene56456_i0_length297.p1	
Efra.gene26841_i0_length549.p1	
Efra.gene18564_i2_length720.p1	Pentraxin fusion protein
Efra.gene13900_i0_length1047.p1	
Efra.gene31924_i2_length459.p1	Lysozyme (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase) (Invertebrate-type lysozyme)
Efra.gene21137_i1_length711.p1	Serine protease inhibitor dipetalogastin (Dipetalin) (Fragment)
Efra.gene19494_i1_length774.p1	
Efra.gene10189_i0_length1293.p1	Gelsolin-like protein 2 (Actin-modulator) (EWAM-P2)
Efra.gene25717_i1_length576.p1	Actin-depolymerizing factor 2, isoform c (Uncoordinated protein 60)
Efra.gene329_i3_length5301.p1	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain] (Fragment)
Efra.gene813_i1_length4026.p1	Major yolk protein (MYP) (Vitellogenin)
Efra.gene7751_i0_length1518.p1	
Efra.gene27331_i1_length540.p1	Calmodulin (CaM)
Efra.gene12182_i0_length1149.p1	Actin, non-muscle 6.2
Efra.gene7558_i0_length1539.p1	Elongation factor 1-alpha (EF-1-alpha)
Efra.gene49456_i1_length324.p1	
Efra.gene19703_i0_length765.p1	LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50)
Efra.gene8230_i0_length1470.p1	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8)
Efra.gene19992_i1_length756.p1	Deleted in malignant brain tumors 1 protein (Hensin)
Efra.gene16539_i1_length909.p1	Kunitz-type serine protease inhibitor (Venom trypsin inhibitor)
Efra.gene25800_i2_length576.p1	Lysozyme (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase) (Invertebrate-type lysozyme)
Efra.gene24170_i0_length618.p1	Deleted in malignant brain tumors 1 protein (Apactin) (CRP-ductin) (Glycoprotein 300) (gp300) (Hensin) (Mucin-like glycoprotein) (Muclin) (Vomeroglandin) (p80)
Efra.gene11716_i0_length1179.p1	Balbiani ring protein 3
Efra.gene34351_i1_length426.p1	
Efra.gene25400_i1_length585.p1	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)
Efra.gene19250_i1_length786.p1	Fucolectin-7
Efra.gene31366_i0_length466.p1	NPC intracellular cholesterol transporter 2 homolog a (Niemann Pick type C2 protein homolog)
Efra.gene12082_i0_length1156.p1	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Cytosolic malate dehydrogenase)
Efra.gene40264_i1_length210.p1	
Efra.gene82314_i0_length246.p1	
Efra.gene10979_i3_length1134.p1	Actin, non-muscle 6.2
Efra.gene69555_i0_length267.p1	Metallothionein (MT)
Efra.gene12660_i0_length1122.p1	Annexin-B12 (Annexin XII) (Annexin-12)
Efra.gene45084_i0_length342.p1	
Efra.gene10979_i0_length1233.p1	Actin, non-muscle 6.2
Efra.gene14418_i2_length1020.p1	Major yolk protein (MYP) (Vitellogenin)
Efra.gene19598_i0_length771.p1	
Efra.gene12899_i0_length1107.p1	Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Aldolase 3) (Brain-type aldolase) (Scrapie-responsive protein 2) (Zebrin II)
Efra.gene19992_i0_length618.p1	Scavenger receptor cysteine-rich domain superfamily protein (ApSRCR1)
Efra.gene59164_i0_length291.p1	Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)
Efra.gene27221_i0_length540.p1	Saxiphilin (SAX)
Efra.gene21360_i0_length705.p1	Lipase member H (EC 3.1.1.-) (Lacrimal lipase)
Efra.gene41065_i0_length366.p1	Thioredoxin (Trx)
Efra.gene40169_i0_length372.p1	
Efra.gene30061_i0_length486.p1	
Efra.gene17278_i0_length873.p1	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)
Efra.gene17127_i6_length777.p1	Tropomyosin
Efra.gene8953_i1_length1399.p1	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)
Efra.gene11166_i2_length1221.p1	Sushi repeat-containing protein SRPX
Efra.gene26093_i0_length567.p1	Globin C, coelomic
Efra.gene18440_i0_length819.p1	Mammalian ependymin-related protein 1 (MERP-1)
Efra.gene1160_i1_length3549.p1	Vitellogenin (VTG) [Cleaved into: Lipovitellin I (LVI); Phosvitin (PV); Lipovitellin II (LVII)] (Fragment)
Efra.gene19206_i0_length786.p1	14-3-3 protein gamma-1
