Accession	Filename	Unused	seq_length_summ	counts	Sc_summ	Pep_intensity__summ	Sc_norm	Pep_intensity__norm	SP_2	seq_length
Efra.gene10049_i0_length1308.p1	10.3	5.26	55	4	37.0	3602.8754	0.0046261896710416035	0.003048919516016117	0.0038375545935288606	435
Efra.gene10049_i0_length1308.p1	12.2	4.01	98	6	55.0	4934.6257000000005	0.005740095188735307	0.0025858907399704287	0.0041629929643528674	435
Efra.gene10049_i0_length1308.p1	12.3	3.66	23	2	22.0	1796.4891000000002	0.002223158606026576	0.0010135161126950602	0.001618337359360818	435
Efra.gene10189_i0_length1293.p1	3.1	2.03	27	2	19.0	1771.4789	0.0020801835480993426	0.0012852025659015403	0.0016826930570004416	430
Efra.gene10189_i0_length1293.p1	5.1	4.13	35	3	27.0	4414.4130000000005	0.0016392391390797787	0.0012797197972531217	0.0014594794681664501	430
Efra.gene10189_i0_length1293.p1	5.3	4.04	59	4	34.0	3001.482	0.0035087107780887696	0.0017309612869984134	0.0026198360325435915	430
Efra.gene10189_i0_length1293.p1	7.1	3.77	27	2	27.0	1907.4173999999998	0.0024014119420924145	0.0007896782064587887	0.0015955450742756016	430
Efra.gene10189_i0_length1293.p1	7.2	2.01	18	1	11.0	662.6431	0.0011681138696716144	0.0004296034310665591	0.0007988586503690868	430
Efra.gene10189_i0_length1293.p1	7.3	8.0	53	4	42.0	3975.4307	0.0038289143306966845	0.001919041513135302	0.0028739779219159934	430
Efra.gene10189_i0_length1293.p1	10.1	6.0	43	3	38.0	4028.4237000000003	0.003137205040853128	0.0014286882451588487	0.0022829466430059884	430
Efra.gene10189_i0_length1293.p1	10.2	3.08	27	2	14.0	0	0.0015989583082182018	0	0.0007994791541091009	430
Efra.gene10189_i0_length1293.p1	10.3	2.0	18	1	16.0	790.168	0.002023776248299784	0.0006764519551923943	0.0013501141017460891	430
Efra.gene10189_i0_length1293.p1	12.2	2.3	27	2	17.0	1763.1646	0.0017948416034121602	0.0009346943419898414	0.0013647679727010007	430
Efra.gene10189_i0_length1293.p1	12.3	6.51	53	4	46.0	4650.9678	0.004702473964756002	0.0026544234479517217	0.0036784487063538616	430
Efra.gene10803_i4_length1062.p1	12.1	1.4	93	4	54.0	2219.8776	0.011243729640735986	0.002624810563484263	0.006934270102110124	353
Efra.gene10803_i4_length1062.p1	12.2	0.61	44	2	16.0	782.302	0.002057742081565683	0.0005051786020935448	0.001281460341829614	353
Efra.gene10979_i0_length1233.p1	1.2	4.0	153	12	145.0	0	0.02954044855897584	0	0.01477022427948792	410
Efra.gene10979_i0_length1233.p1	3.1	6.0	250	19	229.0	127511.1381	0.026294694991186432	0.09702157512445568	0.061658135057821056	410
Efra.gene10979_i0_length1233.p1	3.4	11.3	115	10	114.0	63360.0903	0.01851709621886568	0.04175724880819468	0.03013717251353018	410
Efra.gene10979_i0_length1233.p1	5.1	6.0	420	30	358.0	140818.25580000007	0.02279534535410489	0.04281396858572089	0.03280465696991289	410
Efra.gene10979_i0_length1233.p1	5.2	3.89	184	14	143.0	0	0.02169041486375763	0	0.010845207431878815	410
Efra.gene10979_i0_length1233.p1	5.3	6.0	322	24	264.0	97774.56940000002	0.028573088058008404	0.0591373858291777	0.04385523694359305	410
Efra.gene10979_i0_length1233.p1	5.4	2.05	163	13	159.0	0	0.020631549135848446	0	0.010315774567924223	410
Efra.gene10979_i0_length1233.p1	7.1	4.22	369	28	361.0	191999.62869999997	0.033673999617977006	0.08336608371549524	0.05852004166673612	410
Efra.gene10979_i0_length1233.p1	7.2	5.29	285	22	237.0	91562.85599999999	0.026395229369896724	0.062257544919646295	0.04432638714477151	410
Efra.gene10979_i0_length1233.p1	7.3	2.0	288	22	284.0	105168.40730000002	0.02715371765764687	0.05324392685422179	0.040198822255934324	410
Efra.gene10979_i0_length1233.p1	10.1	6.0	171	13	183.0	103745.80330000001	0.01584510042777488	0.038588461671767604	0.02721678104977124	410
Efra.gene10979_i0_length1233.p1	10.2	6.0	228	17	214.0	0	0.025633474481226298	0	0.012816737240613149	410
Efra.gene10979_i0_length1233.p1	10.3	2.0	231	17	211.0	63555.44599999998	0.027990429726865763	0.05706303783012919	0.04252673377849748	410
Efra.gene10979_i0_length1233.p1	12.1	3.77	463	35	412.0	168599.63789999997	0.07385921698419506	0.1716391766292663	0.12274919680673069	410
Efra.gene10979_i0_length1233.p1	12.2	18.71	436	33	405.0	215002.52560000005	0.04484528912973138	0.11953770579649495	0.08219149746311316	410
Efra.gene10979_i0_length1233.p1	12.3	4.6	285	22	259.0	150181.11149999997	0.02776853263281421	0.08989318856477113	0.05883086059879267	410
Efra.gene10979_i3_length1134.p1	10.3	4.03	189	14	172.0	59208.82549999999	0.024748427798322092	0.05766079429305115	0.04120461104568662	378
Efra.gene110165_i0_length213.p1	0.2	2.0	11	1	12.0	2089.057	0.0174377012901982	0.021931932644416466	0.019684816967307332	70
Efra.gene110165_i0_length213.p1	0.3	0.33	33	3	35.0	5266.0599999999995	0.057005337228867456	0.08027679971467158	0.06864106847176951	70
Efra.gene110165_i0_length213.p1	1.1	2.0	22	2	25.0	22918.866	0.02940195054600471	0.13479804839924117	0.08209999947262295	70
Efra.gene110165_i0_length213.p1	1.2	2.0	22	2	22.0	0	0.026251708965710552	0	0.013125854482855276	70
Efra.gene110165_i0_length213.p1	7.1	1.48	22	2	21.0	7207.058000000001	0.011473412612219312	0.018328749897054672	0.014901081254636992	70
Efra.gene11166_i2_length1221.p1	5.1	2.0	13	1	10.0	717.8077	0.0006430148055138705	0.0002203902924473165	0.00043170254898059347	406
Efra.gene11166_i2_length1221.p1	10.3	2.0	13	1	11.0	558.2004	0.0014735932349842946	0.0005061160197832155	0.000989854627383755	406
Efra.gene113616_i0_length210.p1	1.1	1.7	27	3	26.0	5217.786999999999	0.03102118840216149	0.031133344322447985	0.031077266362304738	69
Efra.gene1160_i1_length3549.p1	5.1	2.0	14	1	11.0	663.7096	0.0002427476011348221	6.993647467049067e-05	0.0001563420379026564	1183
Efra.gene11716_i0_length1179.p1	1.1	2.0	13	1	12.0	1904.807	0.0025137545504981124	0.001995478014148968	0.0022546162823235405	393
Efra.gene11716_i0_length1179.p1	3.1	2.0	13	1	14.0	961.3803	0.001677073116319545	0.0007631444038960574	0.0012201087601078013	393
Efra.gene11716_i0_length1179.p1	5.3	2.0	13	1	10.0	1103.066	0.0011291315930086596	0.0006960316934153803	0.0009125816432120199	393
Efra.gene11716_i0_length1179.p1	7.1	2.0	26	2	22.0	2506.0877	0.002140925169370864	0.0011352109788433343	0.001638068074107099	393
Efra.gene11716_i0_length1179.p1	10.1	2.0	13	1	11.0	2001.258	0.0009936373271216884	0.0007765712628591116	0.0008851042949904	393
Efra.gene11716_i0_length1179.p1	10.2	2.0	13	1	8.0	0	0.000999712210154601	0	0.0004998561050773005	393
Efra.gene11716_i0_length1179.p1	10.3	2.0	13	1	10.0	1197.141	0.001383943681248262	0.0011213436517082493	0.0012526436664782557	393
Efra.gene11716_i0_length1179.p1	12.1	1.57	13	1	10.0	839.0441	0.0018702462365374625	0.0008911193602706597	0.001380682798404061	393
Efra.gene11803_i0_length1173.p1	7.1	1.82	12	1	10.0	1162.102	0.000978125542388688	0.0005291031647971976	0.0007536143535929428	391
Efra.gene12082_i0_length1156.p1	3.1	1.51	17	1	10.0	534.0165	0.0013450810912522065	0.0004759821730137727	0.0009105316321329896	350
Efra.gene12082_i0_length1156.p1	7.1	4.71	43	3	29.0	3586.6031000000003	0.003168847292898667	0.0018242659126623086	0.002496556602780488	350
Efra.gene12082_i0_length1156.p1	7.2	2.57	37	2	31.0	2516.48	0.004044404644863018	0.002004388745402254	0.003024396695132636	350
Efra.gene12082_i0_length1156.p1	10.1	2.01	17	1	10.0	820.4713	0.0010142843365164248	0.0003574918410565443	0.0006858880887864846	350
Efra.gene12082_i0_length1156.p1	10.2	2.15	57	4	27.0	0	0.0037885522364108823	0	0.0018942761182054412	350
Efra.gene12082_i0_length1156.p1	10.3	2.0	20	1	12.0	505.4299	0.0018647652573619438	0.0005315925182966855	0.0011981788878293147	350
Efra.gene12082_i0_length1156.p1	12.1	2.69	26	2	20.0	2904.372	0.004200038691195559	0.003463600857965496	0.0038318197745805275	350
Efra.gene12182_i0_length1149.p1	1.3	2.0	77	6	77.0	33762.3612	0.021749615551732923	0.08322937319032869	0.05248949437103081	382
Efra.gene12182_i0_length1149.p1	3.2	1.75	176	14	152.0	118157.77099999998	0.03855965732609227	0.09941096970652745	0.06898531351630986	382
Efra.gene12182_i0_length1149.p1	5.1	1.19	420	30	355.0	137283.7722000001	0.0242611842719147	0.04479878371248419	0.03452998399219945	382
Efra.gene12182_i0_length1149.p1	7.3	8.0	295	22	294.0	99133.28220000002	0.0301702411921388	0.05386724451159593	0.042018742851867366	382
Efra.gene12280_i0_length1146.p1	7.1	0.92	228	17	236.0	172766.905	0.02368963583975291	0.08072507284353707	0.05220735434164499	381
Efra.gene12280_i0_length1146.p1	7.3	2.0	195	15	213.0	95581.6272	0.02191540204652602	0.05207365746894206	0.03699452975773404	381
Efra.gene12442_i0_length1134.p1	1.2	16.01	155	12	139.0	0	0.03079685655128571	0	0.015398428275642854	377
Efra.gene12442_i0_length1134.p1	1.3	14.0	111	8	98.0	34220.77309999999	0.028048455261795918	0.08547825379843256	0.05676335453011424	377
Efra.gene12442_i0_length1134.p1	3.1	2.0	192	14	181.0	120099.3757	0.022602357329131906	0.09938102126241301	0.06099168929577246	377
Efra.gene12442_i0_length1134.p1	3.2	4.01	210	15	188.0	123136.77819999997	0.04832473039457355	0.10497401775495496	0.07664937407476426	377
Efra.gene12442_i0_length1134.p1	5.1	4.0	393	27	349.0	135274.68580000006	0.024167464151852086	0.04472862684730959	0.03444804549958084	377
Efra.gene12442_i0_length1134.p1	5.2	2.0	273	19	205.0	0	0.03381646360295355	0	0.016908231801476777	377
Efra.gene12442_i0_length1134.p1	5.3	6.01	349	24	271.0	94378.70490000004	0.031898117254695296	0.06208014614303739	0.04698913169886634	377
Efra.gene12442_i0_length1134.p1	7.3	4.0	244	18	246.0	96829.6152	0.02557929505501423	0.0533132911992823	0.039446293127148264	377
Efra.gene12442_i0_length1134.p1	10.1	2.0	135	10	145.0	104893.61159999999	0.013653827606951873	0.04243053164578526	0.028042179626368565	377
Efra.gene12442_i0_length1134.p1	10.2	2.01	170	13	162.0	0	0.021103341369927992	0	0.010551670684963996	377
Efra.gene12442_i0_length1134.p1	12.2	2.0	264	20	269.0	191884.08240000004	0.032393404316848895	0.11602265812548383	0.07420803122116637	377
Efra.gene12442_i0_length1134.p1	12.3	2.43	384	27	346.0	163947.18429999996	0.04034333274572702	0.10672297914456284	0.07353315594514492	377
Efra.gene12565_i0_length1128.p1	12.2	2.0	14	1	14.0	571.7606	0.0016948935611829342	0.0003475587037094072	0.0010212261324461706	375
Efra.gene12660_i0_length1122.p1	5.1	1.3	9	1	10.0	1044.383	0.0006999035148488778	0.00034902886434265206	0.000524466189595765	373
Efra.gene12660_i0_length1122.p1	5.3	2.0	9	1	8.0	1074.426	0.000951739873570838	0.0007143116689543567	0.0008330257712625973	373
Efra.gene12660_i0_length1122.p1	10.2	2.0	9	1	11.0	0	0.00144830961276754	0	0.00072415480638377	373
Efra.gene12747_i0_length1116.p1	0.1	2.0	16	1	13.0	1275.351	0.0031781892053963394	0.0010437178819974868	0.002110953543696913	371
Efra.gene12747_i0_length1116.p1	0.2	2.0	16	1	11.0	748.8768	0.0030159546256632104	0.0014834097201414135	0.002249682172902312	371
Efra.gene12747_i0_length1116.p1	0.3	4.0	101	6	77.0	4200.6092	0.023662592811982717	0.012082050797062443	0.01787232180452258	371
Efra.gene12747_i0_length1116.p1	0.4	2.0	16	1	12.0	1551.678	0.003570925458781886	0.0013539837885284394	0.002462454623655163	371
Efra.gene12747_i0_length1116.p1	1.4	2.0	64	4	63.0	4139.7559	0.01374446253203389	0.003897313511568368	0.00882088802180113	371
Efra.gene12747_i0_length1116.p1	3.2	1.47	16	1	8.0	698.7122	0.0020896281881922613	0.0006052848449952858	0.0013474565165937735	371
Efra.gene12747_i0_length1116.p1	3.4	2.0	16	1	11.0	909.2703	0.001974561496833693	0.0006622455406416003	0.0013184035187376465	371
Efra.gene12747_i0_length1116.p1	5.4	2.0	16	1	15.0	0	0.0021509777617092665	0	0.0010754888808546333	371
Efra.gene12747_i0_length1116.p1	10.2	2.0	16	1	11.0	0	0.0014561172117582009	0	0.0007280586058791004	371
Efra.gene12747_i0_length1116.p1	10.3	2.0	16	1	18.0	314.8265	0.002638818760417845	0.00031238009009668403	0.0014755994252572645	371
Efra.gene1287_i0_length3423.p1	0.1	3.37	23	2	20.0	2996.5950000000003	0.001591239129827317	0.0007980874950807694	0.0011946633124540432	1140
Efra.gene1287_i0_length3423.p1	1.4	3.65	23	2	21.0	4573.9529999999995	0.0014909928653171266	0.0014013653188378297	0.0014461790920774781	1140
Efra.gene1287_i0_length3423.p1	5.4	1.55	26	3	24.0	0	0.001120017894167211	0	0.0005600089470836055	1140
Efra.gene12899_i0_length1107.p1	5.3	2.0	11	1	12.0	773.7394	0.0014470066827795757	0.0005213951187451384	0.000984200900762357	368
Efra.gene12899_i0_length1107.p1	10.2	2.0	11	1	9.0	0	0.0012010808720505515	0	0.0006005404360252758	368
Efra.gene13656_i0_length1062.p1	1.2	2.0	14	1	7.0	0	0.0016563658760234575	0	0.0008281829380117287	353
Efra.gene13656_i0_length1062.p1	3.1	4.0	73	5	58.0	4461.073600000001	0.007735168881705325	0.00394247309949636	0.0058388209906008424	353
Efra.gene13656_i0_length1062.p1	5.1	2.1	46	4	33.0	6201.2554	0.002440541746253495	0.0021898546754108043	0.0023151982108321496	353
Efra.gene13656_i0_length1062.p1	5.3	6.03	81	5	64.0	5586.7376	0.0080453025006668	0.003924674428654647	0.005984988464660723	353
Efra.gene13656_i0_length1062.p1	5.4	3.44	39	3	26.0	0	0.003918476201973104	0	0.001959238100986552	353
Efra.gene13656_i0_length1062.p1	7.1	4.0	45	3	38.0	3459.6630999999998	0.004116994138473408	0.0017447450390527188	0.0029308695887630635	353
Efra.gene13656_i0_length1062.p1	7.2	4.0	31	2	28.0	3122.9573	0.003621965230709822	0.002466311099973601	0.0030441381653417117	353
Efra.gene13656_i0_length1062.p1	7.3	4.0	65	4	41.0	5255.017	0.004553066211397717	0.0030900681514059933	0.003821567181401855	353
Efra.gene13656_i0_length1062.p1	10.1	4.14	170	10	103.0	10340.5071	0.010358342870089833	0.004467225919853197	0.007412784394971515	353
Efra.gene13656_i0_length1062.p1	10.2	4.0	31	2	30.0	0	0.004173727676247431	0	0.0020868638381237154	353
Efra.gene13656_i0_length1062.p1	10.3	2.0	17	1	11.0	619.571	0.0016948409444861859	0.0006461038821583191	0.0011704724133222524	353
Efra.gene13656_i0_length1062.p1	12.1	4.0	45	3	42.0	3199.3597	0.008745123053905767	0.0037829622394252027	0.006264042646665485	353
Efra.gene13656_i0_length1062.p1	12.2	4.0	31	2	29.0	3179.6441	0.0037296575228378003	0.002053283976767268	0.0028914707498025344	353
Efra.gene13900_i0_length1047.p1	1.1	1.85	27	2	18.0	2584.1751	0.004246012342460279	0.0030484917894977336	0.0036472520659790062	349
Efra.gene13900_i0_length1047.p1	1.3	2.0	34	2	21.0	1185.8794	0.006492591670301102	0.0031997958666640037	0.004846193768482552	349
Efra.gene13900_i0_length1047.p1	3.1	4.0	67	4	59.0	5539.141	0.007958717631621223	0.004951320612416653	0.006455019122018938	349
Efra.gene13900_i0_length1047.p1	5.1	6.0	196	11	167.0	8948.988100000002	0.012492174740243967	0.003196383540489977	0.007844279140366972	349
Efra.gene13900_i0_length1047.p1	5.2	2.01	37	2	20.0	0	0.003563856811325317	0	0.0017819284056626585	349
Efra.gene13900_i0_length1047.p1	5.3	2.0	79	4	55.0	4280.735	0.006993174608275695	0.003041676230382149	0.005017425419328922	349
Efra.gene13900_i0_length1047.p1	7.1	4.0	37	3	40.0	6186.477000000001	0.004383347702853605	0.0031556646417137428	0.003769506172283674	349
Efra.gene13900_i0_length1047.p1	7.2	2.0	37	2	30.0	1422.546	0.003925154706632932	0.0011363115173156184	0.002530733111974275	349
Efra.gene13900_i0_length1047.p1	7.3	6.0	44	3	35.0	7639.4532	0.003931311275548172	0.004543656441367382	0.004237483858457777	349
Efra.gene13900_i0_length1047.p1	10.1	4.0	77	5	65.0	13213.954000000002	0.006611738869842024	0.005774018199058363	0.006192878534450193	349
Efra.gene13900_i0_length1047.p1	10.2	2.0	17	1	9.0	0	0.0012664692289816703	0	0.0006332346144908352	349
Efra.gene13900_i0_length1047.p1	10.3	2.0	17	1	17.0	1844.701	0.0026493202677420166	0.0019457477209518406	0.0022975339943469286	349
Efra.gene13900_i0_length1047.p1	12.1	2.0	17	1	20.0	2653.619	0.004212073186012738	0.0031736335804869995	0.0036928533832498688	349
Efra.gene13900_i0_length1047.p1	12.2	2.0	17	1	16.0	1007.998	0.002081326518030619	0.0006583842834424046	0.0013698554007365118	349
Efra.gene13900_i0_length1047.p1	12.3	2.0	51	3	35.0	3906.0249999999996	0.004408386269439257	0.0027466601052488007	0.0035775231873440287	349
Efra.gene13951_i0_length1044.p1	5.1	2.0	12	1	8.0	836.2377	0.000601876682509813	0.00030040741632238313	0.00045114204941609803	347
Efra.gene13951_i0_length1044.p1	10.1	2.0	24	2	16.0	1845.9179	0.001636885384579821	0.0008112480971828014	0.0012240667408813112	347
Efra.gene14059_i2_length1041.p1	0.2	4.03	26	2	28.0	5739.2418	0.008207947773484261	0.012154852728373066	0.010181400250928663	347
Efra.gene14059_i2_length1041.p1	0.3	4.05	37	3	35.0	4777.9241	0.0114996357522211	0.014693053481339534	0.013096344616780317	347
Efra.gene14059_i2_length1041.p1	0.4	6.0	47	4	43.0	13530.8839	0.013680829453397558	0.012623577897015244	0.0131522036752064	347
Efra.gene14059_i2_length1041.p1	1.1	8.39	97	8	88.0	50561.8572	0.02087792684304196	0.05999044204614002	0.04043418444459099	347
Efra.gene14059_i2_length1041.p1	1.2	4.0	173	13	145.0	0	0.03490370002645561	0	0.017451850013227806	347
Efra.gene14059_i2_length1041.p1	1.3	2.01	77	6	78.0	33942.5678	0.024254333806633267	0.09211331125562548	0.05818382253112937	347
Efra.gene14059_i2_length1041.p1	1.4	6.0	37	3	41.0	33611.471	0.00956347008713085	0.033831602065146335	0.021697536076138592	347
Efra.gene14059_i2_length1041.p1	3.1	16.15	302	19	239.0	121835.31230000002	0.03242536982226141	0.10953370089921896	0.07097953536074018	347
Efra.gene14059_i2_length1041.p1	3.2	16.62	137	11	142.0	115888.77789999999	0.039656265205455586	0.10733646587340367	0.07349636553942963	347
Efra.gene14059_i2_length1041.p1	3.4	2.01	81	7	89.0	55636.583	0.01708096569660773	0.04332423680852241	0.03020260125256507	347
Efra.gene14059_i2_length1041.p1	5.1	19.05	365	24	301.0	134279.47280000002	0.022645610179431716	0.0482381378990444	0.035441874039238055	347
Efra.gene14059_i2_length1041.p1	5.2	14.71	206	14	157.0	0	0.02813752251627494	0	0.01406876125813747	347
Efra.gene14059_i2_length1041.p1	5.3	20.17	384	25	306.0	102570.75250000002	0.03913173115620617	0.07330171475021616	0.05621672295321116	347
Efra.gene14059_i2_length1041.p1	5.4	15.44	175	12	153.0	0	0.023457435290663423	0	0.011728717645331711	347
Efra.gene14059_i2_length1041.p1	7.1	18.06	480	30	447.0	185322.6185	0.049266238594255836	0.09507620122332977	0.0721712199087928	347
Efra.gene14059_i2_length1041.p1	7.2	18.51	251	17	216.0	86879.60059999998	0.028424002152239863	0.06979830201580804	0.04911115208402395	347
Efra.gene14059_i2_length1041.p1	7.3	26.0	438	27	404.0	104558.51009999996	0.04564011235958749	0.0625458572538346	0.05409298480671104	347
Efra.gene14059_i2_length1041.p1	10.1	16.69	258	15	206.0	108741.37670000001	0.021074899326465196	0.04778990167055275	0.03443240049850897	347
Efra.gene14059_i2_length1041.p1	10.2	18.02	351	22	311.0	0	0.04401578727007413	0	0.022007893635037065	347
Efra.gene14059_i2_length1041.p1	10.3	18.74	274	18	234.0	67141.9978	0.03667729937030336	0.07122800145179564	0.053952650411049505	347
Efra.gene14059_i2_length1041.p1	12.1	16.45	377	26	324.0	151394.73459999988	0.06862887429129341	0.18210628629133888	0.12536758029131614	347
Efra.gene14059_i2_length1041.p1	12.2	4.93	715	44	640.0	224613.24360000002	0.08373290545160646	0.14755403708888995	0.11564347127024821	347
Efra.gene14059_i2_length1041.p1	12.3	16.46	430	27	341.0	146445.23220000006	0.04319782968626567	0.10357169650277062	0.07338476309451815	347
Efra.gene14246_i0_length1029.p1	0.2	6.0	49	3	37.0	3642.2391000000007	0.011004787120276152	0.00782648937142257	0.009415638245849362	342
Efra.gene14246_i0_length1029.p1	0.3	2.0	10	1	11.0	875.6608	0.003667009997178608	0.0027321975030586113	0.0031996037501186097	342
Efra.gene14418_i2_length1020.p1	3.4	2.2	23	2	25.0	3310.028	0.004911251778796594	0.0026383470102262553	0.003774799394511425	339
Efra.gene14418_i2_length1020.p1	5.1	5.38	60	5	56.0	10237.02	0.004312561834266477	0.0037643000682710324	0.004038430951268755	339
Efra.gene14418_i2_length1020.p1	5.2	1.72	46	3	18.0	0	0.0033020867977500944	0	0.0016510433988750472	339
Efra.gene14418_i2_length1020.p1	5.3	4.08	66	5	45.0	4161.4292	0.0058904696821115475	0.003044127786741053	0.004467298734426301	339
Efra.gene14418_i2_length1020.p1	5.4	4.37	42	3	37.0	0	0.005806582445424406	0	0.002903291222712203	339
Efra.gene14418_i2_length1020.p1	7.1	4.1	50	3	30.0	2532.8194000000003	0.0033844874962298856	0.0013300788688233893	0.0023572831825266374	339
Efra.gene14418_i2_length1020.p1	7.2	2.06	23	2	24.0	2219.2618	0.003232752784931902	0.001825010452931915	0.0025288816189319085	339
Efra.gene14418_i2_length1020.p1	7.3	4.0	31	2	25.0	2793.4249	0.0028909136855590225	0.0017104324992464404	0.0023006730924027313	339
Efra.gene14418_i2_length1020.p1	10.1	10.86	165	10	117.0	20704.1446	0.01225219574641522	0.009313831542948842	0.010783013644682031	339
Efra.gene14418_i2_length1020.p1	10.3	4.23	48	3	31.0	2060.533	0.0049736241500435326	0.002237514458047192	0.003605569304045362	339
Efra.gene14418_i2_length1020.p1	12.2	1.78	19	1	10.0	380.6753	0.0013392016128183739	0.00025597656808262883	0.0007975890904505014	339
Efra.gene14418_i2_length1020.p1	12.3	2.26	42	3	28.0	2499.2625	0.003630741729874456	0.0018092871659084412	0.0027200144478914485	339
Efra.gene14605_i0_length1011.p1	1.1	0.33	58	5	55.0	43486.66910000001	0.013475894000252158	0.05328505096761392	0.03338047248393304	336
Efra.gene14605_i0_length1011.p1	5.3	2.0	200	14	190.0	83494.71889999999	0.025092933348201372	0.061622568586462874	0.043357750967332125	336
Efra.gene14605_i0_length1011.p1	7.3	2.0	303	21	310.0	86860.38069999997	0.0361673951446902	0.05366005198499596	0.04491372356484308	336
Efra.gene14605_i0_length1011.p1	10.1	0.3	119	9	131.0	94143.37659999999	0.013840755008713714	0.04272885726372247	0.02828480613621809	336
Efra.gene14605_i0_length1011.p1	10.3	2.0	175	13	166.0	58180.2504	0.026870749368236344	0.06374150052193965	0.045306124945088	336
Efra.gene14678_i0_length1005.p1	0.1	4.61	57	4	49.0	25203.841	0.014019971260592104	0.024139861599191164	0.019079916429891635	317
Efra.gene14678_i0_length1005.p1	1.4	2.06	40	4	38.0	10854.981	0.009702540322298022	0.011960086603046424	0.010831313462672222	317
Efra.gene15113_i1_length981.p1	1.4	2.0	11	1	12.0	1370.943	0.0029793722462077557	0.0014688123562151111	0.0022240923012114334	326
Efra.gene15574_i0_length957.p1	0.1	3.03	40	3	35.0	6055.848099999999	0.00998277378618081	0.005781961027253611	0.00788236740671721	318
Efra.gene15574_i0_length957.p1	1.4	2.12	24	2	20.0	2270.8081	0.00509054167853107	0.002494122806941438	0.003792332242736254	318
Efra.gene15574_i0_length957.p1	10.1	1.6	15	1	8.0	918.8985	0.0008930805478760973	0.00044066768834737373	0.0006668741181117355	318
Efra.gene16475_i0_length912.p1	5.4	2.02	16	1	9.0	0	0.0015802232665230453	0	0.0007901116332615227	303
Efra.gene16498_i0_length912.p1	0.1	12.0	415	26	360.0	112720.16470000004	0.10776312522790939	0.11295001502743773	0.11035657012767355	303
Efra.gene16498_i0_length912.p1	0.2	12.3	281	19	278.0	35957.75600000001	0.09332719117361302	0.08721167067442875	0.09026943092402089	303
Efra.gene16498_i0_length912.p1	0.3	13.7	170	11	146.0	13073.486900000002	0.05493583653739042	0.04604167291726623	0.05048875472732832	303
Efra.gene16498_i0_length912.p1	0.4	18.0	246	18	231.0	99946.1544	0.08416718447279055	0.10678474908019342	0.09547596677649198	303
Efra.gene16498_i0_length912.p1	1.1	9.42	398	24	319.0	53853.79110000001	0.08667268061944358	0.07317490579755262	0.0799237932084981	303
Efra.gene16498_i0_length912.p1	1.2	12.46	260	17	197.0	0	0.05430709070464274	0	0.02715354535232137	303
Efra.gene16498_i0_length912.p1	1.3	12.02	219	13	177.0	10997.411199999997	0.0630310962202593	0.034178658314027124	0.048604877267143215	303
Efra.gene16498_i0_length912.p1	1.4	24.0	620	41	587.0	191897.49360000005	0.1568038041195843	0.22120309178913883	0.18900344795436158	303
Efra.gene16498_i0_length912.p1	3.1	13.93	725	37	457.0	47935.422000000006	0.07100518829894074	0.049353502873417256	0.060179345586179	303
